Hybrid of Roulette and Tournament -- Thanks to Cal Poly / Jordan Potter
Author was David Liu
Notable contributors: Julie Rolla, Hannah Hasan, and Adam Blenk
Done at The Ohio State University
Working on behalf of Dr. Amy Connolly
And the ANITA project
Revision date: 21 March 2018 1800 EST
0.08333,0.1,0.11667,0.13334,0.15001,0.16668,0.18335,0.20002,0.21669,0.23336,0.25003,0.2667,0.28337,0.30004,0.31671,0.33338,0.35005,0.36672,0.38339,0.40006,0.41673,0.4334,0.45007,0.46674,0.48341,0.50008,0.51675,0.53342,0.55009,0.56676,0.58343,0.6001,0.61677,0.63344,0.65011,0.66678,0.68345,0.70012,0.71679,0.73346,0.75013,0.7668,0.78347,0.80014,0.81681,0.83348,0.85015,0.86682,0.88349,0.90016,0.91683,0.9335,0.95017,0.96684,0.98351,1.00018,1.01685,1.03352,1.05019,1.06686
Matrices for this Generation: 
3.59762,112.757,0.015638
4.39305,60.7497,0.0311171
0.971784,91.947,0.0157626
0.736882,106.3,0.0501633
1.24788,92.3568,0.0152852
0.633194,70.3781,0.0941885
1.15887,104.106,0.00695415
0.122903,39.8139,0.13818
0.553867,115.267,0.0285976
1.82924,62.1366,0.0507689
4.4518,75.7197,0.00576195
1.55281,44.4172,0.111257
1.26702,108.147,0.0340689
3.07164,85.3515,0.00059101
3.23597,54.2142,0.0657382
5.57072,130.997,0.0127767
0.814472,42.9279,0.0417482
0.68515,110.996,0.00721374
1.585,66.184,0.0642211
1.79213,75.4993,0.0513318
4.93854,48.2639,0.0238095
2.67308,70.5497,0.066343
5.13816,127.527,0.00869935
4.2846,60.8261,0.0248851
1.91762,45.7666,0.00590515
3.19484,82.7253,0.0474999
2.22658,92.5376,0.0404655
3.02731,57.2337,0.0673217
0.406768,38.6143,0.153953
3.94818,39.0061,0.0533425
1.26834,58.0359,0.0225491
0.415104,105.458,0.00634249
3.49199,133.163,0.0165357
0.885489,50.0054,0.0466392
4.69832,37.8404,0.0559721
3.34242,67.2496,0.0379921
1.44049,58.0889,0.00958072
0.73564,106.577,0.0136676
0.436916,42.5135,0.00457792
3.61921,109.227,0.00787333
2.54671,138.951,0.0245226
0.820621,101.581,0.0311792
1.43718,129.092,0.017636
2.42432,59.7711,0.0525146
3.3194,48.8694,0.0514875
1.61474,106.157,0.0297827
1.40647,59.334,0.083443
3.06743,75.1953,0.0143627
0.471058,118.5,0.00429041
1.302,124.807,0.0418849
